         Student ID,Name,Email,Address,Course
22359753,Abdelrahman Founas,22359753@studentmail.ie,16 oak lane, Computer Science
22478292,Johan Islam,22478292@studentmail.ie,92 chicken avenue, Biotechnology
24785993,Seanie Stack,24785993@studentmail.ie,34 potatoe road, Law
21920938,Ruhul Alaf,21920938@studentmail.ie,22 ash drive,Mechanical Engineering
24912093,Cristiano Ronaldo,24912093@studentmail.ie,11 avignon,Data Science
21346509,Pele,21346509@studentmail.ie,15 daragh oaks,Civil Engineering
29454781,Daragh Roche,29454781@studentmail.ie,12 milford grange,Computer Engineering
23542987,Alex Sidorov,23542987@studentmail.ie,14 anacotty drive,Aerospace Engineering
27194601,Margot Robbie,27194601@studentmail.ie,17 kilteragh,Cybersecurity
21245672,Thierry Henry,21245672@studentmail.ie,13 avignon,Environmental science
